amino,direction,coordinates
H,2,"(0, 0)"
C,1,"(0, 1)"
P,-2,"(1, 1)"
H,-2,"(1, 0)"
P,-1,"(1, -1)"
C,-1,"(0, -1)"
P,2,"(-1, -1)"
H,-1,"(-1, 0)"
P,2,"(-2, 0)"
C,1,"(-2, 1)"
H,2,"(-1, 1)"
C,2,"(-1, 2)"
H,1,"(-1, 3)"
P,-2,"(0, 3)"
H,1,"(0, 2)"
P,1,"(1, 2)"
P,-2,"(2, 2)"
P,-2,"(2, 1)"
H,-2,"(2, 0)"
P,-2,"(2, -1)"
P,-1,"(2, -2)"
P,-1,"(1, -2)"
H,-2,"(0, -2)"
P,-2,"(0, -3)"
P,-1,"(0, -4)"
P,2,"(-1, -4)"
P,2,"(-1, -3)"
H,-1,"(-1, -2)"
P,-1,"(-2, -2)"
C,-2,"(-3, -2)"
P,-1,"(-3, -3)"
H,2,"(-4, -3)"
P,2,"(-4, -2)"
P,1,"(-4, -1)"
P,2,"(-3, -1)"
H,-1,"(-3, 0)"
P,2,"(-4, 0)"
H,1,"(-4, 1)"
H,2,"(-3, 1)"
H,1,"(-3, 2)"
C,2,"(-2, 2)"
C,-1,"(-2, 3)"
H,2,"(-3, 3)"
C,-1,"(-3, 4)"
H,-2,"(-4, 4)"
C,-2,"(-4, 3)"
H,-1,"(-4, 2)"
C,2,"(-5, 2)"
H,2,"(-5, 3)"
H,0,"(-5, 4)"
